year,mean_chla,summer_bt,cp_extent,summer_st,mean_AL,NPI,wind_along_shelf,wind_cross_shelf,ice_avg,temp_occ,total_pred,pcod_consumption,bcd_prevalence,total_invert,female_sam,clutch_fullness,male_sam,matmale_d95,matmale_cod_lat,matmale_cod_lon,fraction_bb
2010,1.7984037889600795,1.3386666666666667,74987,5.3536,-127.02479338842976,1006.49,0.9535899999999999,-0.50753,34.35180372,1.37592191832233,10009.1382563678,653.3824726,0.306778385222508,4347.148097281609,83.47366838238106,0.07601170238518751,97.2383,40902,56.5935109813054,-167.822748781891,0.4168720574240199
2011,1.4999982899970894,2.3120000000000003,45714,4.994666666666666,58.20661157024794,1011.132,-0.29723,-0.6167,29.19506043,2.32607146629658,10507.5049547126,803.5879939,0.203038352815603,4901.095479862069,82.76662909887538,0.13080440169017823,106.83697,33283,56.5169390830395,-167.781185182785,0.4175462918470269
2012,1.189028362693236,0.8268096514745309,103057,5.042359249329759,-29.848360655737704,1010.324,0.91411,-0.06840000000000002,38.30508222,0.226726098514328,9323.95854231035,179.6170997,0.012302993183849,5200.702414183908,81.10245852575225,0.07727278528908137,108.73491,31278,56.4589833676195,-165.807793240695,0.646125249756394
2013,1.5857045689210119,1.6370666666666667,72982,6.329066666666667,-31.64669421487603,1010.312,-0.39155999999999996,0.051570000000000005,33.3776517,1.42125116185513,9097.4274064023,309.586863,0.294193852732995,4736.292727752873,81.98749766432428,0.0427416049247553,NA,26867,56.741673844832,-165.221414803575,0.6687310609439753
2014,1.4535320770640046,3.018666666666667,36491,8.245866666666666,-42.93595041322314,1009.804,0.44026,1.0805799999999999,20.88038467,3.00002508128893,9989.98302344253,512.0229433,0.599159358419268,4677.933383247127,83.91953207308276,0.029299187579526265,104.39472,38496,56.8508091338328,-165.819108857904,0.6357509500573376
2015,1.6142592492127703,3.1336,34486,7.165333333333334,-70.52892561983471,1007.862,-1.236895,0.032214999999999994,20.86842607,4.11089691160778,7867.02946596552,200.626962,0.65841120608309,5205.49419882184,81.12560791491839,0.03338181387149905,NA,48922,57.0327298152287,-166.213054881789,0.6529460643564138
2016,1.4735851459230254,4.210666666666667,25664,9.578133333333334,-191.14344262295083,1006.588,-1.3165,-0.009414999999999993,17.69932836,4.52976348363759,9285.62333205747,606.8959651,1.81687104553964,5324.231939890805,80.8139205308557,0.046927821240478035,98.46167,52130,56.9130743634002,-167.231896492175,0.444782125619545
2017,1.63191572782004,2.6528,48120,7.984266666666667,111.37396694214875,1010.256,-1.1066449999999999,-1.08246,23.63095878,3.56594360015818,8544.04188908046,437.623856,1.3703608477561,6350.253340637931,76.66394343264051,0.10515231277784089,103.7751,44110,56.6722269523081,-166.576366030383,0.532177016570509
2018,1.5836047190841926,4.157866666666667,1604,7.5776,102.29132231404958,1012.978,0.5942015,-1.4523000000000001,10.25129354,4.05970296632589,6500.07963513793,393.3690313,1.92421407381989,5057.298867189655,80.38558671846961,0.0958721988237662,92.96685,46917,56.7872022243998,-167.759869752525,0.41828571929319525
2019,1.6428318010033378,4.354133333333333,8020,9.230213903743316,119.62603305785125,1009.398,0.61671,-1.4549400000000001,12.05223279,4.26034927195241,6302.69878839081,308.0603594,4.10294200644427,5584.502250695402,74.16144667878687,0.08886120925443061,95.73022,45313,56.7065976035388,-167.281304312888,0.48319116703937337
2020,1.722551865807259,NA,NA,NA,78.94877049180327,1011.762,-0.8918499999999999,-1.55367,27.45060842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1.8026565558165188,3.369066666666667,18446,7.26951871657754,24.90909090909091,1010.636,-0.879165,-1.92261,24.22180965,3.83666086391167,5876.795457,194.2094965,0.600628328118355,5732.108137603448,81.2060617068461,0.0514148296582869,104.53459,41704,57.0014224024381,-166.989180272596,0.5470694377514692
2022,1.9947505230102291,2.4816000000000003,49724,7.413866666666667,31.611570247933884,1010.524,-0.0011999999999999789,-0.53581,27.40836489,2.83366412047313,7553.61516472988,235.4114867,2.33563583087541,5888.828352356322,82.32374241397115,0.03519282129356047,102.99234,45313,56.9518590033559,-166.150288878632,0.7181630006647882
2023,2.1736928433912484,2.244,48922,6.386933333333333,46.45454545454545,1011.92,1.026105,-0.7950649999999999,26.97856901,3.19161259731983,7415.08003495402,358.2819758,1.80172498230831,5247.823496505747,81.01281609649199,0.0679967951980036,93.78756,54536,57.1158770469496,-167.725818054218,0.6425302367778856
2024,1.9080177701128616,2.472492836676218,44511,5.796275071633238,-44.943548387096776,1009.17,0.79692,-1.5874000000000001,26.98207073,2.86075081293465,8038.02108790805,428.04123,1.34315891613952,5729.964740942529,78.09800091798138,0.029219186151367073,101.4196,53333,57.1240711214646,-167.716061273147,0.5581929214927219
2025,NA,3.005730659025788,31679,6.048997134670487,NA,NA,NA,NA,21.91344138,3.5173791543239,NA,NA,2.67218200326355,NA,82.02743644500404,0.028753409718882728,109.3696,42105,57.2212086107579,-168.218415922901,0.3623153720383407
